date,1. open,2. high,3. low,4. close,5. volume
2020-04-27 09:31:00,281.8,282.4,281.55,281.74,1266757.0
2020-04-27 09:32:00,281.79,281.9,281.01,281.142,167587.0
2020-04-27 09:33:00,281.06,281.1236,280.31,280.7438,215954.0
2020-04-27 09:34:00,280.73,280.96,280.52,280.78,160899.0
2020-04-27 09:35:00,280.7601,281.0,280.22,280.34,124752.0
2020-04-27 09:36:00,280.24,280.67,280.2002,280.45,159512.0
2020-04-27 09:37:00,280.42,280.42,279.95,280.065,268328.0
2020-04-27 09:38:00,280.076,280.56,279.96,280.4,140619.0
2020-04-27 09:39:00,280.425,280.8296,280.35,280.7124,118718.0
2020-04-27 09:40:00,280.72,281.1,280.3,280.99,142547.0
2020-04-27 09:41:00,281.06,281.33,280.6,280.75,193014.0
2020-04-27 09:42:00,280.73,280.7455,280.043,280.42,118322.0
2020-04-27 09:43:00,280.47,281.1317,280.45,280.84,98261.0
2020-04-27 09:44:00,280.8,281.069,280.73,280.9,65212.0
2020-04-27 09:45:00,280.85,281.0,280.4225,280.5597,96584.0
2020-04-27 09:46:00,280.555,280.7999,280.48,280.73,49499.0
2020-04-27 09:47:00,280.74,281.08,280.7,280.91,85780.0
2020-04-27 09:48:00,280.88,281.02,280.62,281.0,60450.0
2020-04-27 09:49:00,280.98,281.26,280.72,281.257,78396.0
2020-04-27 09:50:00,281.44,281.7,281.23,281.5565,151368.0
2020-04-27 09:51:00,281.52,282.32,281.44,282.1001,213180.0
2020-04-27 09:52:00,282.14,282.62,282.03,282.39,165795.0
2020-04-27 09:53:00,282.3902,283.1,282.39,282.82,222629.0
2020-04-27 09:54:00,282.78,283.0816,282.75,283.0,122449.0
2020-04-27 09:55:00,283.0,283.74,282.952,283.52,180022.0
2020-04-27 09:56:00,283.49,283.61,283.16,283.3536,152371.0
2020-04-27 09:57:00,283.35,283.6027,283.17,283.44,83720.0
2020-04-27 09:58:00,283.415,283.62,283.355,283.47,69665.0
