date,1. open,2. high,3. low,4. close,5. volume
2020-04-27 09:31:00,88.38,89.19,88.38,88.95,247539.0
2020-04-27 09:32:00,88.96,88.96,88.73,88.765,15611.0
2020-04-27 09:33:00,88.8,88.8,88.53,88.685,20234.0
2020-04-27 09:34:00,88.69,88.79,88.65,88.7,17867.0
2020-04-27 09:35:00,88.7102,88.78,88.62,88.68,18248.0
2020-04-27 09:36:00,88.62,88.84,88.62,88.775,15775.0
2020-04-27 09:37:00,88.78,88.84,88.61,88.61,8241.0
2020-04-27 09:38:00,88.67,88.72,88.41,88.435,20414.0
2020-04-27 09:39:00,88.44,88.5,88.4,88.4,14881.0
2020-04-27 09:40:00,88.395,88.395,88.235,88.26,16452.0
2020-04-27 09:41:00,88.25,88.32,88.22,88.27,19106.0
2020-04-27 09:42:00,88.27,88.27,87.99,88.0294,24673.0
2020-04-27 09:43:00,88.03,88.16,88.01,88.12,17238.0
2020-04-27 09:44:00,88.08,88.08,88.01,88.025,9909.0
2020-04-27 09:45:00,88.035,88.06,87.74,87.77,27912.0
2020-04-27 09:46:00,87.79,87.8,87.67,87.675,18494.0
2020-04-27 09:47:00,87.7,87.72,87.625,87.675,16820.0
2020-04-27 09:48:00,87.665,87.7099,87.58,87.6184,43235.0
2020-04-27 09:49:00,87.615,87.69,87.56,87.5975,19159.0
2020-04-27 09:50:00,87.6199,87.66,87.527,87.5684,37167.0
2020-04-27 09:51:00,87.575,87.58,87.445,87.455,307.0
2020-04-27 09:52:00,87.445,87.51,87.4,87.47,18511.0
2020-04-27 09:53:00,87.465,87.67,87.465,87.6,34169.0
2020-04-27 09:54:00,87.605,87.6463,87.31,87.34,28992.0
2020-04-27 09:55:00,87.345,87.48,87.32,87.38,46110.0
2020-04-27 09:56:00,87.3792,87.58,87.36,87.48,24776.0
2020-04-27 09:57:00,87.49,87.54,87.46,87.515,18197.0
2020-04-27 09:58:00,87.505,87.73,87.505,87.73,45018.0
2020-04-27 09:59:00,87.73,87.87,87.725,87.87,20970.0
2020-04-27 10:00:00,87.85,87.93,87.83,87.86,27058.0
2020-04-27 10:01:00,87.85,87.915,87.83,87.88,25375.0
2020-04-27 10:02:00,87.88,87.88,87.7,87.76,20945.0
2020-04-27 10:03:00,87.74,87.74,87.5601,87.5601,21333.0
2020-04-27 10:04:00,87.5782,87.5782,87.5,87.535,19100.0
2020-04-27 10:05:00,87.54,87.57,87.515,87.52,15873.0
2020-04-27 10:06:00,87.5246,87.56,87.45,87.55,17853.0
2020-04-27 10:07:00,87.53,87.73,87.53,87.71,29942.0
2020-04-27 10:08:00,87.7075,87.75,87.52,87.53,23777.0
2020-04-27 10:09:00,87.54,87.795,87.54,87.7624,25361.0
2020-04-27 10:10:00,87.7586,87.85,87.675,87.675,12700.0
2020-04-27 10:11:00,87.67,87.675,87.6,87.605,12476.0
2020-04-27 10:12:00,87.605,87.675,87.59,87.675,17082.0
2020-04-27 10:13:00,87.68,87.77,87.675,87.745,14335.0
2020-04-27 10:14:00,87.76,87.89,87.76,87.85,17075.0
2020-04-27 10:15:00,87.87,87.9235,87.855,87.91,20934.0
2020-04-27 10:16:00,87.91,88.05,87.88,87.945,22981.0
2020-04-27 10:17:00,87.93,87.935,87.85,87.905,13764.0
