date,ROC
2020-04-27 13:06:00,0.326
2020-04-27 13:07:00,0.3427
2020-04-27 13:08:00,0.3257
2020-04-27 13:09:00,0.32
2020-04-27 13:10:00,0.2869
2020-04-27 13:11:00,0.337
2020-04-27 13:12:00,0.2808
2020-04-27 13:13:00,0.3708
2020-04-27 13:14:00,0.3593
2020-04-27 13:15:00,0.2019
2020-04-27 13:16:00,0.1574
2020-04-27 13:17:00,0.258
2020-04-27 13:18:00,0.331
2020-04-27 13:19:00,0.2704
2020-04-27 13:20:00,0.158
2020-04-27 13:21:00,0.1849
2020-04-27 13:22:00,0.2128
2020-04-27 13:23:00,0.3137
2020-04-27 13:24:00,0.1961
2020-04-27 13:25:00,0.2634
2020-04-27 13:26:00,0.3476
2020-04-27 13:27:00,0.4093
2020-04-27 13:28:00,0.5772
2020-04-27 13:29:00,0.5397
2020-04-27 13:30:00,0.5219
2020-04-27 13:31:00,0.5783
2020-04-27 13:32:00,0.4937
2020-04-27 13:33:00,0.4148
2020-04-27 13:34:00,0.3878
2020-04-27 13:35:00,0.3697
2020-04-27 13:36:00,0.215
2020-04-27 13:37:00,0.1344
2020-04-27 13:38:00,0.1119
2020-04-27 13:39:00,0.1904
2020-04-27 13:40:00,0.168
2020-04-27 13:41:00,0.2128
2020-04-27 13:42:00,0.2736
2020-04-27 13:43:00,0.297
2020-04-27 13:44:00,0.3506
2020-04-27 13:45:00,0.3363
2020-04-27 13:46:00,0.2803
2020-04-27 13:47:00,0.3255
2020-04-27 13:48:00,0.3141
2020-04-27 13:49:00,0.2579
2020-04-27 13:50:00,0.2243
2020-04-27 13:51:00,0.2803
2020-04-27 13:52:00,0.2802
2020-04-27 13:53:00,0.213
2020-04-27 13:54:00,0.1049
2020-04-27 13:55:00,0.1792
2020-04-27 13:56:00,0.1119
2020-04-27 13:57:00,0.1119
2020-04-27 13:58:00,0.151
2020-04-27 13:59:00,0.2351
2020-04-27 14:00:00,0.2878
2020-04-27 14:01:00,0.4033
2020-04-27 14:02:00,0.4821
2020-04-27 14:03:00,0.4259
2020-04-27 14:04:00,0.4147
2020-04-27 14:05:00,0.3697
2020-04-27 14:06:00,0.3137
2020-04-27 14:07:00,0.1959
2020-04-27 14:08:00,0.2015
2020-04-27 14:09:00,0.2462
2020-04-27 14:10:00,0.2738
2020-04-27 14:11:00,0.2743
2020-04-27 14:12:00,0.3025
2020-04-27 14:13:00,0.2519
2020-04-27 14:14:00,0.2574
2020-04-27 14:15:00,0.2322
2020-04-27 14:16:00,0.224
2020-04-27 14:17:00,0.0671
2020-04-27 14:18:00,0.0671
2020-04-27 14:19:00,0.1455
2020-04-27 14:20:00,0.1778
2020-04-27 14:21:00,0.1398
2020-04-27 14:22:00,0.0894
2020-04-27 14:23:00,0.067
2020-04-27 14:24:00,0.1789
2020-04-27 14:25:00,0.1453
2020-04-27 14:26:00,0.095
2020-04-27 14:27:00,0.0168
2020-04-27 14:28:00,-0.0167
2020-04-27 14:29:00,0.0112
2020-04-27 14:30:00,-0.0447
2020-04-27 14:31:00,-0.0279
2020-04-27 14:32:00,0.0447
2020-04-27 14:33:00,0.0558
2020-04-27 14:34:00,0.0268
2020-04-27 14:35:00,-0.0335
2020-04-27 14:36:00,-0.0023
2020-04-27 14:37:00,0.0671
2020-04-27 14:38:00,0.1118
2020-04-27 14:39:00,0.1677
2020-04-27 14:40:00,0.1901
2020-04-27 14:41:00,0.2794
2020-04-27 14:42:00,0.2802
2020-04-27 14:43:00,0.285
2020-04-27 14:44:00,0.1843
2020-04-27 14:45:00,0.1844
2020-04-27 14:46:00,0.2795
2020-04-27 14:47:00,0.3356
2020-04-27 14:48:00,0.2908
2020-04-27 14:49:00,0.3468
2020-04-27 14:50:00,0.414
2020-04-27 14:51:00,0.3242
2020-04-27 14:52:00,0.257
2020-04-27 14:53:00,0.3692
2020-04-27 14:54:00,0.382
2020-04-27 14:55:00,0.2348
2020-04-27 14:56:00,0.1348
2020-04-27 14:57:00,0.1676
2020-04-27 14:58:00,0.1452
2020-04-27 14:59:00,0.0894
2020-04-27 15:00:00,0.0815
2020-04-27 15:01:00,0.0335
2020-04-27 15:02:00,0.0502
2020-04-27 15:03:00,0.1116
2020-04-27 15:04:00,0.1228
2020-04-27 15:05:00,0.134
2020-04-27 15:06:00,0.1843
2020-04-27 15:07:00,0.1453
2020-04-27 15:08:00,0.2123
2020-04-27 15:09:00,0.1675
2020-04-27 15:10:00,0.1787
2020-04-27 15:11:00,0.2066
2020-04-27 15:12:00,0.2401
2020-04-27 15:13:00,0.1731
2020-04-27 15:14:00,0.0853
2020-04-27 15:15:00,0.0921
2020-04-27 15:16:00,0.0671
2020-04-27 15:17:00,0.1006
2020-04-27 15:18:00,0.0168
2020-04-27 15:19:00,0.0056
2020-04-27 15:20:00,0.056
2020-04-27 15:21:00,0.0391
2020-04-27 15:22:00,0.0279
2020-04-27 15:23:00,0.0391
2020-04-27 15:24:00,-0.0279
2020-04-27 15:25:00,-0.0837
2020-04-27 15:26:00,-0.0893
2020-04-27 15:27:00,-0.0726
2020-04-27 15:28:00,-0.1284
2020-04-27 15:29:00,-0.1005
2020-04-27 15:30:00,0.0
2020-04-27 15:31:00,-0.0167
